C00001;30/08/2022 13:25:55;LOGIN
M00001;30/08/2022 13:26:14;LOGIN
M00001;30/08/2022 13:32:42;LOGIN
M00001;30/08/2022 13:32:51;LOGOUT
C00001;30/08/2022 13:33:00;LOGIN
C00001;30/08/2022 13:33:02;LOGOUT
C00003;30/08/2022 13:33:29;LOGIN
C00003;30/08/2022 13:33:37;LOGOUT
M00001;30/08/2022 13:38:03;LOGIN
M00002;30/08/2022 13:39:09;LOGIN
M00002;30/08/2022 13:39:42;LOGOUT
M00001;30/08/2022 15:18:23;LOGIN
M00001;30/08/2022 15:18:37;LOGOUT
M00001;30/08/2022 15:25:44;LOGIN
M00001;30/08/2022 15:26:08;LOGOUT
M00001;30/08/2022 15:40:48;LOGIN
M00001;30/08/2022 15:48:31;LOGOUT
C00001;30/08/2022 18:11:23;LOGIN
C00001;30/08/2022 18:12:09;LOGOUT
M00001;30/08/2022 18:12:15;LOGIN
M00001;30/08/2022 18:12:55;LOGOUT
C00001;30/08/2022 18:13:29;LOGIN
C00001;30/08/2022 18:14:56;LOGOUT
M00001;30/08/2022 20:27:31;LOGIN
M00001;30/08/2022 20:28:33;LOGOUT
C00001;30/08/2022 20:28:41;LOGIN
C00001;30/08/2022 20:29:09;LOGOUT
M00001;30/08/2022 20:59:31;LOGIN
M00001;30/08/2022 21:00:00;LOGOUT
C00001;01/09/2022 22:45:04;LOGIN
C00001;01/09/2022 22:45:12;LOGOUT
M00001;01/09/2022 22:47:08;LOGIN
M00001;01/09/2022 22:47:26;LOGOUT
M00001;02/09/2022 12:55:37;LOGIN
M00001;02/09/2022 12:56:50;LOGOUT
C00001;02/09/2022 12:56:59;LOGIN
C00001;02/09/2022 12:58:06;LOGOUT
M00001;02/09/2022 20:28:32;LOGIN
C00001;08/09/2022 08:44:59;LOGIN
C00001;08/09/2022 08:45:05;LOGOUT
M00001;13/09/2022 13:57:25;LOGIN
M00001;13/09/2022 13:57:48;LOGOUT
C00001;13/09/2022 13:57:58;LOGIN
C00001;13/09/2022 13:58:22;LOGOUT
C00001;13/09/2022 14:24:01;LOGIN
C00001;13/09/2022 14:25:37;LOGOUT
C00001;08/10/2022 00:42:15;LOGIN
M00001;25/02/2025 16:07:16;LOGIN
M00001;25/02/2025 16:08:01;LOGOUT
